counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
369,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,165.5077339814815,3972,29.450599351851853,707,SOLD OUT,SOLD OUT
370,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.61881865740742,4047,26.339514675925926,632,SOLD OUT,SOLD OUT
371,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.66000401620371,4048,26.298329317129628,631,SOLD OUT,SOLD OUT
372,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.70166399305555,4049,26.256669340277778,630,SOLD OUT,SOLD OUT
373,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.74334056712962,4050,26.214992766203704,629,SOLD OUT,SOLD OUT
374,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.78500621527778,4051,26.173327118055557,628,SOLD OUT,SOLD OUT
375,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.8266734837963,4052,26.131659849537037,627,SOLD OUT,SOLD OUT
376,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.86836840277778,4053,26.089964930555556,626,SOLD OUT,SOLD OUT
377,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.91001280092593,4054,26.048320532407406,625,SOLD OUT,SOLD OUT
378,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.95167282407408,4055,26.00666050925926,624,SOLD OUT,SOLD OUT
379,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.9617289351852,4055,25.996604398148147,624,SOLD OUT,SOLD OUT
380,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,168.96614674768517,4055,25.99218658564815,624,SOLD OUT,SOLD OUT
381,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,169.00338608796295,4056,25.95494724537037,623,SOLD OUT,SOLD OUT
382,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,169.00783125,4056,25.950502083333333,623,SOLD OUT,SOLD OUT
383,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,169.04950020833334,4057,25.908833125,622,SOLD OUT,SOLD OUT
384,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,169.09120488425927,4058,25.867128449074073,621,SOLD OUT,SOLD OUT
385,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.57571420138888,4094,24.382619131944445,585,SOLD OUT,SOLD OUT
386,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.61737981481483,4095,24.340953518518518,584,SOLD OUT,SOLD OUT
387,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.65904751157407,4096,24.29928582175926,583,SOLD OUT,SOLD OUT
388,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.70071311342593,4097,24.25762021990741,582,SOLD OUT,SOLD OUT
389,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.74238122685185,4098,24.21595210648148,581,SOLD OUT,SOLD OUT
390,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.78404751157407,4099,24.17428582175926,580,SOLD OUT,SOLD OUT
391,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.82577627314814,4100,24.132557060185185,579,SOLD OUT,SOLD OUT
392,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.86737828703704,4101,24.090955046296298,578,SOLD OUT,SOLD OUT
393,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.90904640046296,4102,24.04928693287037,577,SOLD OUT,SOLD OUT
394,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.95071417824073,4103,24.00761915509259,576,SOLD OUT,SOLD OUT
395,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,170.9923816435185,4104,23.965951689814815,575,SOLD OUT,SOLD OUT
396,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.03406447916666,4105,23.924268854166666,574,SOLD OUT,SOLD OUT
397,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.07573129629628,4106,23.88260203703704,573,SOLD OUT,SOLD OUT
398,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.11739538194445,4107,23.840937951388888,572,SOLD OUT,SOLD OUT
399,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.15906346064816,4108,23.799269872685183,571,SOLD OUT,SOLD OUT
400,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.20072939814816,4109,23.757603935185184,570,SOLD OUT,SOLD OUT
401,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.24239581018517,4110,23.71593752314815,569,SOLD OUT,SOLD OUT
402,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.2840642013889,4111,23.674269131944445,568,SOLD OUT,SOLD OUT
403,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.32573832175925,4112,23.632595011574075,567,SOLD OUT,SOLD OUT
404,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.3673936111111,4113,23.590939722222224,566,SOLD OUT,SOLD OUT
405,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.4090766898148,4114,23.549256643518518,565,SOLD OUT,SOLD OUT
406,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.45073207175926,4115,23.507601261574074,564,SOLD OUT,SOLD OUT
407,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.49239876157407,4116,23.46593457175926,563,SOLD OUT,SOLD OUT
408,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.53406579861112,4117,23.424267534722222,562,SOLD OUT,SOLD OUT
409,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.57574291666666,4118,23.382590416666666,561,SOLD OUT,SOLD OUT
410,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.61743803240742,4119,23.340895300925926,560,SOLD OUT,SOLD OUT
411,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.65907855324073,4120,23.299254780092593,559,SOLD OUT,SOLD OUT
412,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.70075252314814,4121,23.257580810185186,558,SOLD OUT,SOLD OUT
413,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.7424112962963,4122,23.215922037037036,557,SOLD OUT,SOLD OUT
414,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.78406716435185,4123,23.174266168981482,556,SOLD OUT,SOLD OUT
415,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.82575847222222,4124,23.13257486111111,555,SOLD OUT,SOLD OUT
416,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.86744711805557,4125,23.090886215277777,554,SOLD OUT,SOLD OUT
417,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.90909625,4126,23.049237083333335,553,SOLD OUT,SOLD OUT
418,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.95076164351852,4127,23.007571689814814,552,SOLD OUT,SOLD OUT
419,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,171.9924184027778,4128,22.965914930555556,551,SOLD OUT,SOLD OUT
420,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.03455539351853,4129,22.923777939814816,550,SOLD OUT,SOLD OUT
421,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.07574961805557,4130,22.88258371527778,549,SOLD OUT,SOLD OUT
422,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.1174117824074,4131,22.840921550925927,548,SOLD OUT,SOLD OUT
423,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.15912193287036,4132,22.799211400462962,547,SOLD OUT,SOLD OUT
424,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.2007336574074,4133,22.757599675925928,546,SOLD OUT,SOLD OUT
425,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.24241114583333,4134,22.7159221875,545,SOLD OUT,SOLD OUT
426,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.2840706712963,4135,22.674262662037037,544,SOLD OUT,SOLD OUT
427,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.32574446759259,4136,22.63258886574074,543,SOLD OUT,SOLD OUT
428,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.36746372685184,4137,22.59086960648148,542,SOLD OUT,SOLD OUT
429,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.40909064814815,4138,22.549242685185185,541,SOLD OUT,SOLD OUT
430,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.45075527777777,4139,22.507578055555555,540,SOLD OUT,SOLD OUT
431,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,172.49242300925926,4140,22.465910324074073,539,SOLD OUT,SOLD OUT
432,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.75256069444444,4194,20.205772638888888,485,SOLD OUT,SOLD OUT
433,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.858601875,4197,20.099731458333334,482,SOLD OUT,SOLD OUT
434,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.86418873842592,4197,20.09414459490741,482,SOLD OUT,SOLD OUT
435,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.89184819444444,4197,20.06648513888889,482,SOLD OUT,SOLD OUT
436,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.90027375,4198,20.058059583333332,481,SOLD OUT,SOLD OUT
437,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.94193393518518,4199,20.01639939814815,480,SOLD OUT,SOLD OUT
438,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,174.9835979976852,4200,19.97473533564815,479,SOLD OUT,SOLD OUT
439,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.0252747337963,4201,19.933058599537038,478,SOLD OUT,SOLD OUT
440,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.0319455439815,4201,19.926387789351853,478,SOLD OUT,SOLD OUT
441,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.06695797453705,4202,19.891375358796296,477,SOLD OUT,SOLD OUT
442,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.10860322916668,4203,19.849730104166667,476,SOLD OUT,SOLD OUT
443,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.15027123842592,4204,19.808062094907406,475,SOLD OUT,SOLD OUT
444,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.19193173611112,4205,19.766401597222224,474,SOLD OUT,SOLD OUT
445,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.2335968287037,4206,19.72473650462963,473,SOLD OUT,SOLD OUT
446,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.2752704861111,4207,19.68306284722222,472,SOLD OUT,SOLD OUT
447,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.31693922453704,4208,19.641394108796295,471,SOLD OUT,SOLD OUT
448,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.35861133101852,4209,19.599722002314813,470,SOLD OUT,SOLD OUT
449,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.40027310185187,4210,19.55806023148148,469,SOLD OUT,SOLD OUT
450,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.4419435763889,4211,19.516389756944445,468,SOLD OUT,SOLD OUT
451,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.4836114236111,4212,19.474721909722224,467,SOLD OUT,SOLD OUT
452,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.52528856481482,4213,19.433044768518517,466,SOLD OUT,SOLD OUT
453,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56065729166667,4213,19.397676041666667,466,SOLD OUT,SOLD OUT
454,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56138777777778,4213,19.396945555555554,466,SOLD OUT,SOLD OUT
455,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56208229166666,4213,19.396251041666666,466,SOLD OUT,SOLD OUT
456,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56281925925927,4214,19.395514074074075,465,SOLD OUT,SOLD OUT
457,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56349650462963,4214,19.394836828703703,465,SOLD OUT,SOLD OUT
458,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56424822916668,4214,19.394085104166667,465,SOLD OUT,SOLD OUT
459,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56497174768518,4214,19.393361585648147,465,SOLD OUT,SOLD OUT
460,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56561501157407,4214,19.392718321759258,465,SOLD OUT,SOLD OUT
461,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56635253472223,4214,19.39198079861111,465,SOLD OUT,SOLD OUT
462,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5669498611111,4214,19.391383472222223,465,SOLD OUT,SOLD OUT
463,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5670467824074,4214,19.391286550925926,465,SOLD OUT,SOLD OUT
464,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56778083333333,4214,19.3905525,465,SOLD OUT,SOLD OUT
465,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56846387731483,4214,19.38986945601852,465,SOLD OUT,SOLD OUT
466,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5691530324074,4214,19.389180300925926,465,SOLD OUT,SOLD OUT
467,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.56986150462964,4214,19.388471828703704,465,SOLD OUT,SOLD OUT
468,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5705696412037,4214,19.387763692129628,465,SOLD OUT,SOLD OUT
469,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5712920138889,4214,19.387041319444446,465,SOLD OUT,SOLD OUT
470,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57200145833335,4214,19.386331875,465,SOLD OUT,SOLD OUT
471,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57270105324073,4214,19.385632280092594,465,SOLD OUT,SOLD OUT
472,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57340493055557,4214,19.384928402777778,465,SOLD OUT,SOLD OUT
473,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5741101273148,4214,19.38422320601852,465,SOLD OUT,SOLD OUT
474,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57481582175927,4214,19.383517511574073,465,SOLD OUT,SOLD OUT
475,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57552802083333,4214,19.3828053125,465,SOLD OUT,SOLD OUT
476,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57623479166668,4214,19.382098541666668,465,SOLD OUT,SOLD OUT
477,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57694063657408,4214,19.38139269675926,465,SOLD OUT,SOLD OUT
478,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57764972222222,4214,19.38068361111111,465,SOLD OUT,SOLD OUT
479,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5783722685185,4214,19.379961064814815,465,SOLD OUT,SOLD OUT
480,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.57906952546296,4214,19.37926380787037,465,SOLD OUT,SOLD OUT
481,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.5805171527778,4214,19.377816180555556,465,SOLD OUT,SOLD OUT
482,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.60861821759258,4215,19.34971511574074,464,SOLD OUT,SOLD OUT
483,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.65027685185186,4216,19.308056481481483,463,SOLD OUT,SOLD OUT
484,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.6509585185185,4216,19.307374814814814,463,SOLD OUT,SOLD OUT
485,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.65785451388888,4216,19.300478819444443,463,SOLD OUT,SOLD OUT
486,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.66695592592592,4216,19.291377407407406,463,SOLD OUT,SOLD OUT
487,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.669115,4216,19.289218333333334,463,SOLD OUT,SOLD OUT
488,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.67298228009258,4216,19.285351053240742,463,SOLD OUT,SOLD OUT
489,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.69194092592593,4217,19.26639240740741,462,SOLD OUT,SOLD OUT
490,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.73361466435185,4218,19.22471866898148,461,SOLD OUT,SOLD OUT
491,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.73404162037036,4218,19.224291712962962,461,SOLD OUT,SOLD OUT
492,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.7549755439815,4218,19.203357789351852,461,SOLD OUT,SOLD OUT
493,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.7752739236111,4219,19.183059409722222,460,SOLD OUT,SOLD OUT
494,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.7756758101852,4219,19.182657523148148,460,SOLD OUT,SOLD OUT
495,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.79649480324073,4219,19.16183853009259,460,SOLD OUT,SOLD OUT
496,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.8169536111111,4220,19.141379722222222,459,SOLD OUT,SOLD OUT
497,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.81737731481482,4220,19.14095601851852,459,SOLD OUT,SOLD OUT
498,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.83819215277776,4220,19.120141180555557,459,SOLD OUT,SOLD OUT
499,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.8586202314815,4221,19.09971310185185,458,SOLD OUT,SOLD OUT
500,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.85901902777778,4221,19.099314305555556,458,SOLD OUT,SOLD OUT
501,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.87985416666666,4221,19.078479166666668,458,SOLD OUT,SOLD OUT
502,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.90028559027778,4222,19.058047743055557,457,SOLD OUT,SOLD OUT
503,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.90069179398148,4222,19.057641539351852,457,SOLD OUT,SOLD OUT
504,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.92152730324074,4222,19.036806030092592,457,SOLD OUT,SOLD OUT
505,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.9419533101852,4223,19.016380023148148,456,SOLD OUT,SOLD OUT
506,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.94241006944443,4223,19.01592326388889,456,SOLD OUT,SOLD OUT
507,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.96318202546297,4223,18.99515130787037,456,SOLD OUT,SOLD OUT
508,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.98361854166666,4224,18.974714791666667,455,SOLD OUT,SOLD OUT
509,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,175.98401152777777,4224,18.974321805555554,455,SOLD OUT,SOLD OUT
510,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.00487775462963,4224,18.953455578703704,455,SOLD OUT,SOLD OUT
511,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.0252830439815,4225,18.93305028935185,454,SOLD OUT,SOLD OUT
512,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.02568952546295,4225,18.93264380787037,454,SOLD OUT,SOLD OUT
513,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.04656530092592,4225,18.91176803240741,454,SOLD OUT,SOLD OUT
514,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.06694332175925,4226,18.891390011574074,453,SOLD OUT,SOLD OUT
515,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.06740011574075,4226,18.890933217592593,453,SOLD OUT,SOLD OUT
516,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.0881989699074,4226,18.870134363425926,453,SOLD OUT,SOLD OUT
517,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.10862364583335,4227,18.8497096875,452,SOLD OUT,SOLD OUT
518,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.10902951388888,4227,18.849303819444444,452,SOLD OUT,SOLD OUT
519,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.1298854398148,4227,18.82844789351852,452,SOLD OUT,SOLD OUT
520,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.15033930555555,4228,18.807994027777777,451,SOLD OUT,SOLD OUT
521,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.1507254861111,4228,18.807607847222222,451,SOLD OUT,SOLD OUT
522,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.17155965277777,4228,18.786773680555555,451,SOLD OUT,SOLD OUT
523,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.19199050925926,4229,18.766342824074073,450,SOLD OUT,SOLD OUT
524,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.19237094907407,4229,18.76596238425926,450,SOLD OUT,SOLD OUT
525,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.21322319444445,4229,18.74511013888889,450,SOLD OUT,SOLD OUT
526,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.23361967592592,4230,18.724713657407406,449,SOLD OUT,SOLD OUT
527,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.2340402662037,4230,18.72429306712963,449,SOLD OUT,SOLD OUT
528,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.25492892361112,4230,18.70340440972222,449,SOLD OUT,SOLD OUT
529,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.275286875,4231,18.683046458333333,448,SOLD OUT,SOLD OUT
530,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.27572092592592,4231,18.682612407407408,448,SOLD OUT,SOLD OUT
531,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.29656135416667,4231,18.661771979166666,448,SOLD OUT,SOLD OUT
532,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.3169547800926,4232,18.64137855324074,447,SOLD OUT,SOLD OUT
533,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.31744524305554,4232,18.640888090277777,447,SOLD OUT,SOLD OUT
534,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.33822899305557,4232,18.620104340277777,447,SOLD OUT,SOLD OUT
535,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.3586235300926,4233,18.599709803240742,446,SOLD OUT,SOLD OUT
536,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.35904291666668,4233,18.599290416666665,446,SOLD OUT,SOLD OUT
537,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.3799038425926,4233,18.578429490740742,446,SOLD OUT,SOLD OUT
538,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.40028872685184,4234,18.55804460648148,445,SOLD OUT,SOLD OUT
539,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.40071094907407,4234,18.557622384259258,445,SOLD OUT,SOLD OUT
540,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.42157849537037,4234,18.536754837962963,445,SOLD OUT,SOLD OUT
541,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.44196002314814,4235,18.516373310185184,444,SOLD OUT,SOLD OUT
542,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.44238600694445,4235,18.51594732638889,444,SOLD OUT,SOLD OUT
543,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.4632267013889,4235,18.495106631944445,444,SOLD OUT,SOLD OUT
544,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.48362746527778,4236,18.474705868055555,443,SOLD OUT,SOLD OUT
545,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.48404596064816,4236,18.474287372685186,443,SOLD OUT,SOLD OUT
546,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.50492997685186,4236,18.45340335648148,443,SOLD OUT,SOLD OUT
547,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.5252845023148,4237,18.433048831018517,442,SOLD OUT,SOLD OUT
548,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.52571848379628,4237,18.432614849537035,442,SOLD OUT,SOLD OUT
549,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.54660248842592,4237,18.411730844907407,442,SOLD OUT,SOLD OUT
550,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.56695650462962,4238,18.391376828703702,441,SOLD OUT,SOLD OUT
551,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.5674022337963,4238,18.39093109953704,441,SOLD OUT,SOLD OUT
552,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.58825256944445,4238,18.37008076388889,441,SOLD OUT,SOLD OUT
553,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.6086266087963,4239,18.349706724537036,440,SOLD OUT,SOLD OUT
554,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.60908413194446,4239,18.34924920138889,440,SOLD OUT,SOLD OUT
555,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.62990719907407,4239,18.32842613425926,440,SOLD OUT,SOLD OUT
556,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.65033084490742,4240,18.308002488425927,439,SOLD OUT,SOLD OUT
557,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.65080967592593,4240,18.30752365740741,439,SOLD OUT,SOLD OUT
558,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.67157476851852,4240,18.286758564814814,439,SOLD OUT,SOLD OUT
559,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.69195405092591,4241,18.266379282407406,438,SOLD OUT,SOLD OUT
560,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.6924361689815,4241,18.265897164351852,438,SOLD OUT,SOLD OUT
561,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.71324618055556,4241,18.245087152777778,438,SOLD OUT,SOLD OUT
562,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.73361777777777,4242,18.224715555555555,437,SOLD OUT,SOLD OUT
563,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.73407631944445,4242,18.224257013888888,437,SOLD OUT,SOLD OUT
564,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.75494197916666,4242,18.203391354166666,437,SOLD OUT,SOLD OUT
565,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.77529586805557,4243,18.183037465277778,436,SOLD OUT,SOLD OUT
566,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.77575416666667,4243,18.182579166666667,436,SOLD OUT,SOLD OUT
567,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.79666333333333,4243,18.16167,436,SOLD OUT,SOLD OUT
568,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.81696079861112,4244,18.141372534722223,435,SOLD OUT,SOLD OUT
569,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.8174244212963,4244,18.140908912037037,435,SOLD OUT,SOLD OUT
570,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,176.8382842013889,4244,18.120049131944445,435,SOLD OUT,SOLD OUT
