counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
217,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.09400118055555,3818,35.86433215277778,861,SOLD OUT,SOLD OUT
218,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.13560555555554,3819,35.82272777777778,860,SOLD OUT,SOLD OUT
219,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.17727555555555,3820,35.781057777777775,859,SOLD OUT,SOLD OUT
220,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.218939375,3821,35.73939395833333,858,SOLD OUT,SOLD OUT
221,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.26061711805556,3822,35.69771621527778,857,SOLD OUT,SOLD OUT
222,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.3023357175926,3823,35.65599761574074,856,SOLD OUT,SOLD OUT
223,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.34393722222222,3824,35.61439611111111,855,SOLD OUT,SOLD OUT
224,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.38561028935186,3825,35.57272304398148,854,SOLD OUT,SOLD OUT
225,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.42727354166666,3826,35.531059791666664,853,SOLD OUT,SOLD OUT
226,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.46897052083332,3827,35.4893628125,852,SOLD OUT,SOLD OUT
227,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.51061774305555,3828,35.44771559027778,851,SOLD OUT,SOLD OUT
228,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.55231778935186,3829,35.40601554398148,850,SOLD OUT,SOLD OUT
229,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.59395290509258,3830,35.36438042824074,849,SOLD OUT,SOLD OUT
230,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.63561916666666,3831,35.322714166666664,848,SOLD OUT,SOLD OUT
231,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.67729123842594,3832,35.281042094907406,847,SOLD OUT,SOLD OUT
232,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.7189562037037,3833,35.23937712962963,846,SOLD OUT,SOLD OUT
233,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.76061358796295,3834,35.19771974537037,845,SOLD OUT,SOLD OUT
234,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.80228019675926,3835,35.15605313657407,844,SOLD OUT,SOLD OUT
235,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.84394962962963,3836,35.1143837037037,843,SOLD OUT,SOLD OUT
236,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.8856237962963,3837,35.072709537037035,842,SOLD OUT,SOLD OUT
237,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.9272896875,3838,35.031043645833336,841,SOLD OUT,SOLD OUT
238,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,159.96898293981482,3839,34.98935039351852,840,SOLD OUT,SOLD OUT
239,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.01062042824074,3840,34.947712905092594,839,SOLD OUT,SOLD OUT
240,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.05228377314816,3841,34.90604956018519,838,SOLD OUT,SOLD OUT
241,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,160.09397313657408,3842,34.86436019675926,837,SOLD OUT,SOLD OUT
