counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,110,5000,415.7234058,771,138,47.00339553,1128,82.99660447,1992,320.279006,1167
2,110,5000,415.7234058,771,138,47.00781338,1128,82.99218662,1992,319.9431993,1169
3,110,5000,415.7234058,771,138,47.04505269,1129,82.95494731,1991,319.771453,1170
4,110,5000,415.7234058,771,138,47.04949772,1129,82.95050228,1991,319.771453,1170
5,110,5000,415.7234058,771,138,47.09116713,1130,82.90883287,1990,319.256266,1173
6,110,5000,415.7234058,771,138,47.13282448,1131,82.86717552,1989,319.256266,1173
7,109,5000,396.29,791,147,48.61738101,1167,81.38261899,1953,317.1919764,1184
8,109,5000,396.29,791,147,48.65904654,1168,81.34095346,1952,317.1953547,1184
9,109,5000,396.29,791,147,48.70071414,1169,81.29928586,1951,317.5265482,1182
10,109,5000,396.2083673,791,147,48.74238508,1170,81.25761492,1950,317.5003215,1182
11,109,5000,396.2083673,791,147,48.78405031,1171,81.21594969,1949,317.3122401,1183
12,109,5000,396.2083673,791,147,48.82571441,1172,81.17428559,1948,317.5265482,1182
13,109,5000,397.095,788,146,48.86741211,1173,81.13258789,1947,317.1449493,1184
14,109,5000,397.095,788,146,48.9090488,1174,81.0909512,1946,317.3242773,1183
15,109,5000,397.095,788,146,48.95071571,1175,81.04928429,1945,317.3200507,1183
16,109,5000,397.095,788,146,48.99238266,1176,81.00761734,1944,317.1559291,1184
17,109,5000,397.095,788,146,49.03404828,1177,80.96595172,1943,317.1559291,1184
18,109,5000,397.095,788,146,49.07577273,1178,80.92422727,1942,317.1559291,1184
19,109,5000,397.095,788,146,49.11744821,1179,80.88255179,1941,317.1559291,1184
20,109,5000,397.095,788,146,49.1590744,1180,80.8409256,1940,317.1559291,1184
21,109,5000,397.095,788,146,49.20073043,1181,80.79926957,1939,317.1559291,1184
22,109,5000,397.095,788,146,49.24240801,1182,80.75759199,1938,317.1559291,1184
23,109,5000,397.095,788,146,49.28406578,1183,80.71593422,1937,317.1542399,1184
24,109,5000,397.095,788,146,49.32580317,1184,80.67419683,1936,317.1542399,1184
25,109,5000,397.095,788,146,49.36740522,1185,80.63259478,1935,317.5335195,1182
26,109,5000,397.095,788,146,49.40906949,1186,80.59093051,1934,316.6185823,1185
27,109,5000,397.095,788,146,49.45074313,1187,80.54925688,1933,316.7778885,1184
28,109,5000,399.0542759,787,145,49.49240476,1188,80.50759524,1932,316.7193914,1183
29,109,5000,399.0542759,787,145,49.53410884,1189,80.46589116,1931,316.8892132,1182
30,109,5000,399.0542759,787,145,49.57573516,1190,80.42426484,1930,316.8164552,1182
31,109,5000,399.0542759,787,145,49.61740987,1191,80.38259013,1929,316.8164552,1182
32,108.75,5000,399.0301379,787,145,49.65910451,1192,80.34089549,1928,285.2337489,1171
33,108.75,5000,399.0301379,787,145,49.70074563,1193,80.29925438,1927,283.5484505,1181
34,107.75,5000,398.4384138,787,145,49.74241466,1194,80.25758534,1926,281.2082831,1194
35,107.75,5000,398.4384138,787,145,49.78407806,1195,80.21592194,1925,281.2082831,1194
36,107.75,5000,398.4384138,787,145,49.82573391,1196,80.17426609,1924,281.0214979,1195
37,107.75,5000,398.4384138,787,145,49.86743628,1197,80.13256372,1923,281.0214979,1195
38,107.75,5000,398.4384138,787,145,49.90911426,1198,80.09088574,1922,281.0198243,1195
39,107.75,5000,398.4384138,787,145,49.9507672,1199,80.0492328,1921,280.9110377,1195
40,107.75,5000,398.4384138,787,145,49.99242818,1200,80.00757182,1920,280.9110377,1195
41,107.75,5000,398.4384138,787,145,50.03408995,1201,79.96591005,1919,280.9026695,1195
42,107.75,5000,398.4384138,787,145,50.07622358,1202,79.92377642,1918,280.7346906,1196
43,107.75,5000,398.4384138,787,145,50.11741316,1203,79.88258684,1917,280.5628154,1197
44,107.75,5000,398.4384138,787,145,50.15908436,1204,79.84091564,1916,280.7472324,1196
45,107.75,5000,398.4384138,787,145,50.20078875,1205,79.79921125,1915,280.7472324,1196
46,107.7,5000,378.4915172,787,145,50.24246102,1206,79.75753898,1914,278.3289214,1196
47,107.7,5000,378.4915172,787,145,50.28408748,1207,79.71591252,1913,278.3289214,1196
48,106.7,5000,377.9944828,786,145,50.32574082,1208,79.67425918,1912,278.2686622,1196
49,106.7,5000,377.9944828,786,145,50.36741137,1209,79.63258863,1911,278.2375167,1196
50,106.7,5000,377.9944828,786,145,50.40907296,1210,79.59092704,1910,278.2101004,1195
51,106.7,5000,379.2297917,776,144,50.45075726,1211,79.54924274,1909,278.3670134,1192
52,106.7,5000,379.2228472,776,144,50.49242486,1212,79.50757514,1908,278.3531826,1194
53,106.7,5000,379.2228472,776,144,50.53409029,1213,79.46590971,1907,278.3531826,1194
54,106.7,5000,393.7808824,734,136,52.79423112,1267,77.20576888,1853,287.4697664,1113
55,106.7,5000,393.7808824,734,136,52.90026802,1270,77.09973198,1850,287.614973,1112
