counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.49384964120371,2052,47.46448369212963,1139,355.5271428571428,7
2,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.49802412037037,2052,47.46030921296296,1139,355.5271428571428,7
3,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.50219032407408,2052,47.45614300925926,1139,355.5271428571428,7
53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,87.62803275462963,2103,45.33030057870371,1088,SOLD OUT,SOLD OUT
4,270,427.7,344.83624999999995,37,8,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.51063372685185,2052,47.44769960648148,1139,344.83624999999995,8
5,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.68927435185185,2057,47.26905898148148,1134,355.5271428571428,7
10,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.69451342592592,2057,47.26381990740741,1134,355.5271428571428,7
11,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.6966615625,2057,47.26167177083333,1134,355.5271428571428,7
12,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.70085363425926,2057,47.257479699074075,1134,355.5271428571428,7
13,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.7049999537037,2057,47.25333337962963,1134,355.5271428571428,7
14,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.70916123842592,2057,47.24917209490741,1134,355.5271428571428,7
16,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.71332855324074,2057,47.24500478009259,1134,355.5271428571428,7
